Name of Package ,, Price ,, Duration ,, Rating ,, Tour Type ,, Trek Difficulty ,, Operator ,, Location ,, Primary Activity ,, Secondary Activity ,, Image ,, 
Nepal Adventure ,, 178750 ,, 4days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Trafalgar ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/nepal-adventure-tour-2-458852_1545630826.JPG ,, 
Magnificent Nepal And Bhutan ,, 717750 ,, 10days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Luxury Gold ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/magnificent-nepal-and-bhutan-tour-2-458943_1545408916.JPG ,, 
Magnificent Nepal And Bhutan ,, 717750 ,, 10days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Insight Vacations ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/magnificent-nepal-and-bhutan-tour-2-459988_1545991600.JPG ,, 
Indias Golden Triangle With Varanasi And Nepal ,, 461450 ,, 11days ,, nan ,, Group Tour - Max 12 participants   ,, nan ,, Trafalgar ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/indias-golden-triangle-with-varanasi-and-nepal-tour-2-459507_1545722001.JPG ,, 
Annapurna Sanctuary ,, 174460 ,, 15days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Walking tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-sanctuary-tour-2-461058_1547104430.JPG ,, 
Inside The Hidden Kingdoms ,, 482790 ,, 21days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu Tours ,, Explorer ,, Explorer ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/inside-the-hidden-kingdoms-tour-2-461070_1547104316.JPG ,, 
Festivals Of Bhutan ,, 446160 ,, 12days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu ,, Adventure And Sport Activities ,, Active and outdoor ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/festivals-of-bhutan-tour-2-461076_1547104261.JPG ,, 
Delhi To Kathmandu ,, 280060 ,, 17days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu ,, Wildlife Landscapes And Nature ,, Wildlife ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/delhi-to-kathmandu-tour-2-461179_1547184869.JPG ,, 
Discover Nepal ,, 199540 ,, 15days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Walking tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/discover-nepal-tour-2-461185_1547184807.JPG ,, 
Annapurna Panorama ,, 178640 ,, 13days ,, nan ,, Group Tour - Max 17 participants   ,, nan ,, Explore ,, Kathmandu ,, Sightseeing Attractions Culture And History ,, Walking tours ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-panorama-tour-2-461560_1547200526.JPG ,, 
GHT Manaslu & Annapurna ,, 459690 ,, 26days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Great Himalaya Trail ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ght-manaslu-and-annapurna-tour-2-429666_1528336488.JPG ,, 
Everest Base Camp & Kala Pattar Over 55's ,, 313390 ,, 21days ,, nan ,, Group Tour - Max 16 participants   ,, nan ,, World Expeditions ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-and-kala-pattar-over-55and-39-s-tour-2-429403_1528334233.JPG ,, 
Tamur Rafting And Trek Expedition ,, 132000 ,, 11hours ,, nan ,, Group Tour - Max 24 participants   ,, nan ,, GRG Adventure Kayaking ,, Tamur River ,, Adventure And Sport Activities ,, Trekking ,, https://i.ytimg.com/vi/o-FvLC8h6_U/0.jpg ,, 
Everest Base Camp Trek ,, 113630 ,, 12days ,, 4.9  ,, Private and Group Tour   ,, Medium ,, Himalayan Leisure Inc. ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-17499_1548642079.JPG ,, 
Everest Base Camp Trek ,, 114950 ,, 12days ,, 4.8  ,, Private and Group Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-258059_1547026947.JPG ,, 
Annapurna Base Camp Trek ,, 69300 ,, 12days ,, 4.8  ,, Private and Group Tour   ,, Moderate ,, Unique Adventure International Pvt Ltd ,, Annapurna Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-base-camp-trek-tour-2-19859_1544109145.JPG ,, 
Everest Base Camp & Kala Patthar Trek ,, 121000 ,, 12days ,, 4.9  ,, Private and Group Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-and-kala-patthar-trek-tour-2-942_1547783449.JPG ,, 
Annapurna Circuit Trek ,, 99000 ,, 15days ,, 4.8  ,, Private and Group Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-81819_1534939682.JPG ,, 
Ghorepani Poon Hill Sunrise Trek ,, 38500 ,, 7days ,, 4.7  ,, Private and Group Tour   ,, Easy ,, Unique Adventure International Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ghorepani-poon-hill-sunrise-trek-tour-2-191826_1534810810.JPG ,, 
Everest Base Camp Trek ,, 141900 ,, 15days ,, 5.0  ,, Private and Group Tour   ,, Hard ,, Buddha Treks and Expedition ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-269912_1547269179.JPG ,, 
Chitwan Jungle Safari ,, 24200 ,, 4days ,, 4.0  ,, Private Tour   ,, nan ,, Breakfree Adventures Pvt Ltd ,, Pokhara ,, Wildlife Landscapes And Nature ,, Rainforest and jungle visits ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/chitwan-jungle-safari-tour-2-20792_1543975221.JPG ,, 
Everest Base Camp ,, 165000 ,, 15days ,, 5.0  ,, Group Tour - Max 16 participants   ,, Easy ,, Intrepid Travel ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-tour-2-413211_1543575932.JPG ,, 
Annapurna Circuit Trek ,, 67100 ,, 14days ,, 5.0  ,, Private Tour   ,, Hard ,, Himalayan Trekking and Tours (P) Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/annapurna-circuit-trek-tour-2-330008_1542172670.PNG ,, 
16 Days Manaslu Circuit Trekking ,, 96580 ,, 16days ,, 4.9  ,, Private Tour   ,, Hard ,, Himalayan Leisure Inc. ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/16-days-manaslu-circuit-trekking-tour-2-17984_1537025760.JPG ,, 
Poonhill Trek ,, 46200 ,, 7days ,, 4.8  ,, Private Tour   ,, Moderate ,, Green Valley Nepal Treks Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/poonhill-trek-tour-2-965_1542610906.JPG ,, 
Manaslu Circuit Trek ,, 99000 ,, 17days ,, 4.8  ,, Private Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-circuit-trek-tour-2-258256_1543291617.JPG ,, 
Everest Base Camp - Chola Pass- Gokyo Trek ,, 143000 ,, 15days ,, 4.9  ,, Private and Group Tour   ,, Hard ,, Nepal Eco Adventure Pvt Ltd ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-chola-pass-gokyo-trek-tour-2-304_1518320101.JPG ,, 
Everest Base Camp - 3 Passes Trek ,, 146850 ,, 17days ,, 4.7  ,, Private Tour   ,, Hard ,, Green Valley Nepal Treks Pvt Ltd ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, /pagespeed_static/1.JiBnMqyl6S.gif ,, 
Ghorepani Poon Hill Trek 5 Days ,, 39050 ,, 5days ,, 4.7  ,, Private and Group Tour   ,, Easy ,, Nepal Lion Tours and Treks Pvt Ltd ,, Poonhill Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/ghorepani-poon-hill-trek-5-days-tour-2-411229_1546489823.JPG ,, 
20 Days EBC 3 High Passes Trek ,, 146960 ,, 20days ,, 4.9  ,, Private Tour   ,, Hard ,, Himalayan Leisure Inc. ,, Everest Base Camp - 3 Passes Trek ,, Adventure And Sport Activities ,, Trekking ,, /pagespeed_static/1.JiBnMqyl6S.gif ,, 
14 Days Everest Base Camp Trek ,, 117150 ,, 14days ,, 4.9  ,, Private Tour   ,, Hard ,, Ace the Himalaya ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/14-days-everest-base-camp-trek-tour-2-270075_1541060246.JPG ,, 
Short Everest Base Camp Trek ,, 117700 ,, 10days ,, 5.0  ,, Private Tour   ,, Hard ,, Exciting Nepal Treks and Expedition ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/short-everest-base-camp-trek-tour-2-266812_1532488139.JPEG ,, 
Manaslu Around Trek ,, 124300 ,, 19days ,, 4.9  ,, Private and Group Tour   ,, Hard ,, Buddha Treks and Expedition ,, Manaslu Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/manaslu-around-trek-tour-2-266731_1547268872.JPG ,, 
Langtang Valley Trek ,, 55000 ,, 8days ,, 4.9  ,, Private and Group Tour   ,, Medium ,, Nepal Eco Adventure Pvt Ltd ,, Langtang Trek ,, Adventure And Sport Activities ,, Trekking ,, /pagespeed_static/1.JiBnMqyl6S.gif ,, 
Everest Base Camp Trek ,, 142450 ,, 14days ,, 5.0  ,, Private Tour   ,, Easy ,, Nepal Hiking Team ,, Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/everest-base-camp-trek-tour-2-326116_1537672984.JPG ,, 
Gokyo Everest Base Camp Trek ,, 129140 ,, 15days ,, 5.0  ,, Private Tour   ,, Medium ,, Himalayan Leisure Inc. ,, Gokyo And Everest Base Camp Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/gokyo-everest-base-camp-trek-tour-2-20748_1545444735.JPG ,, 
15 Day Annapurna Circuit Trek With Tilicho Lake ,, 93500 ,, 15days ,, 4.8  ,, Private and Group Tour   ,, Medium ,, Unique Adventure International Pvt Ltd ,, Annapurna Circuit Trek ,, Adventure And Sport Activities ,, Trekking ,, https://d3hne3c382ip58.cloudfront.net/resized/750x420/15-day-annapurna-circuit-trek-with-tilicho-lake-tour-2-229935_1510029029.JPG ,, 
